type,Date,Experimentname,Datetime,Number of hosts,Number of VMs,Total simulation time,Energy consumption,Number of VM migrations,SLA,ESLAV,PDM,ODF,Overall SLA violation,Average SLA violation,Number of host shutdowns,,,
Thesis,20110303,iqr_fs,10/12/2014 4:00,800,1052,86400,179.830853,23588,0.007008122,1.260276477,0.10170723,6.890485151,0.11615637,9.826075813,5515,,,
Thesis,20110303,iqr_mc,10/12/2014 4:01,800,1052,86400,179.2481196,23596,0.007116987,1.275706508,0.103113952,6.902060026,0.117575792,9.772811751,5511,,,
,20110303,iqr_mc,2/29/2016 3:49,800,1052,86400,122.029114,17986,0.003970986,0.484575952,0.067222707,5.907209879,0.151087027,9.516232112,966,,,
Thesis,20110303,iqr_mcmc,10/12/2014 4:02,800,1052,86400,178.8753064,23526,0.006850176,1.225327338,0.098141564,6.979892899,0.112378632,9.710039705,5407,,,
Thesis,20110303,iqr_mmt,10/12/2014 4:02,800,1052,86400,189.9800727,26282,0.003006968,0.571264002,0.062352237,4.822550318,0.070633865,10.02931577,5868,,,
Thesis,20110303,iqr_mmtmc,10/12/2014 4:03,800,1052,86400,186.9295458,25850,0.003442914,0.643582386,0.067089354,5.131833883,0.076442461,10.01696161,5723,,,
Thesis,20110303,iqr_rs,10/12/2014 4:04,800,1052,86400,180.9237594,23941,0.007111151,1.286576093,0.10247117,6.939659799,0.116778051,9.857753535,5564,,,
Thesis,20110303,iqr_rsmc,10/12/2014 4:04,800,1052,86400,180.7968844,24131,0.007203814,1.302427145,0.102506508,7.027665124,0.117680896,9.801375419,5566,,,
Thesis,20110303,iqr_mu,10/12/2014 4:05,800,1052,86400,201.5418253,29410,0.004541814,0.915365571,0.06112979,7.429789059,0.068487717,10.19173263,6282,,,
Thesis,20110303,iqr_mumc,10/12/2014 4:06,800,1052,86400,201.5418253,29410,0.004541814,0.915365571,0.06112979,7.429789059,0.068487717,10.19173263,6282,,,
Thesis,20110303,lr_fs,10/12/2014 4:07,800,1052,86400,146.3651122,21124,0.006799798,0.995253213,0.101173354,6.720937694,0.158061579,9.250340219,3736,,,
Thesis,20110303,lr_mc,10/12/2014 4:08,800,1052,86400,151.0671928,23380,0.006832674,1.032192887,0.097528087,7.005852607,0.163325761,9.616816376,4078,,,
Thesis,20110303,lr_mcmc,10/12/2014 4:08,800,1052,86400,150.3402054,23150,0.006751104,1.014962317,0.096318598,7.009138256,0.154103209,9.347079046,4020,,,
